id,title,date,format,theme,filename,description,nix
MAF01,"General fertility rates (GFR) total fertility rates (TFR) births 2001 - 2012",30/07/2013,Excel,starting-well,"General_fertility_rates_total_fertility_rates_births_2001_2012.xlsx","This file includes births, general fertility rate and total fertility rate for all local authorities in West Sussex.

Graphs allow the comparison of trends over time.",0
MAF02,Live births 2004 - 2010 and fertility rates 2005 - 2010,03/02/2012,Excel,starting-well,live_births_2004_2010_and_fertility_rates_2005_2010.xls,"Data on trend in number of live births from 2004 to 2010 at local authority level.

Data also provided on general fertility rates (GFR) and total fertility rates (TFR) over the past 6 years at local authority levels.",0
BATNB01,Live births in hospital 2003 - 2007,16/02/2012,Excel,starting-well,live_births_in_hospital_2003_2007.xls,"Percentage of live births in hospital by local authority between 2003 and 2007.

Data provided by the Child Health Bureau and released on a quarterly basis.",0
BATNB02,Live births by age of mother 2011,07/08/2013,Excel,starting-well,live_births_by_age_of_mother_2011.xls,"Live births at local authority level by age of mother in 2011.

Data are based on area of usual residence.",0
BATNB03,Live births 2004 - 2010 and fertility rates 2005 - 2010,03/02/2012,Excel,starting-well,live_births_2004_2010_and_fertility_rates_2005_2010.xls,"Data on trend in number of live births from 2004 to 2010 at local authority level.

Data also provided on general fertility rates (GFR) and total fertility rates (TFR) over the past 6 years at local authority levels.",0
BATNB04,Looked after children needs assessment,06/07/2012,PDF,starting-well,needs_assessment_of_vulnerable_and_looked_after_children___full_report.pdf,"A comprehensive needs assessment of vulnerable and Looked After Children in West Sussex, focussing on social care services, physical and mental health, housing, lifestyle and education.

Produced in 2008 by NHS Sussex.",0
EY01,Briefing - Child Disability Estimates,30/01/2017,PDF,starting-well,Briefing-Child-Disability-Estimates.pdf,"This briefing incorporates work undertaken by the Institute of Public Care for West Sussex County Council as part of the needs assessment of people born with or who acquire a lifelong disability.

The briefing provides an estimate of the number of children living in West Sussex who have a disability and outline the sources of data and background to the assumptions made. This information is important to aid the planning of services and support to children, young people and their families.

There is no single definition of disability and therefore providing a single accurate estimate is difficult; for example the 2011 Census definition of disability is: ‘A long-term health problem or disability that limits a person’s day-to-day activities, and has lasted, or is expected to last, at least 12 months’; the Family Resources Survey (FRS) uses a different definition: ‘a long-standing illness, disability or impairment which causes substantial difficulty with day-to-day activities’. Estimating the number of children and young people according to “severity” or in terms of specific needs or conditions is also problematic. This briefing provides the background to the basis estimates have been made."
EY02,West Sussex Children’s Workforce JSNA Data Profiles (2016) - Supporting the Health4Families Programme,05/01/2017,Excel,starting-well,West-Sussex-Childrens-Workforce-JSNA-Data-Profiles-2016-Supporting-the-Health4Families-Programme-1.xlsx,"The West Sussex Children’s Workforce Public Health data profile (2016) is an interactive dashboard that summarises a wide range of data relating to the early years (e.g. demographic, socioeconomic, health and early years) and is published at Children and Family Centre (CFC) level. The profile aims to help the Children’s Workforce monitor changes in the health and wellbeing of the under 5 population within their centre area and supports the West Sussex Health4Families Programme.

This provides an update on data published in the 2015 profile."
EY03,Infant mortality,07/08/2013,Excel,starting-well,infant_mortality.xlsx,"Infant mortality pooled data at county and national level (2009-2011)."
EY04,Take up of formal childcare by low income families (2005 - 2009),07/02/2011,Excel,starting-well,take_up_of_formal_childcare_by_low_income_families_2005_2009.xls,"The number of working families benefiting from the childcare element of Working Tax Credit (WTC) as a percentage of the number of working families receiving more than the family element of Child Tax Credit (CTC) at county level. Regional comparisons are provided."
EY05,Child poverty briefing note 2013,31/10/2013,Word,starting-well,jsna_briefing_child_poverty_oct_2013.doc,"Update on child poverty relating to August 2011 as provided by HM Revenue and Customs (HMRC).

In 2011, 13% of all children, and 13.5% of children under 16 years old were in relative poverty in West Sussex. This was highest in Crawley and lowest in Mid Sussex.

Data is available at county, local authority, ward and neighbourhood levels (lower super output area)."
EY06,Looked after children needs assessment,06/07/2012,PDF,starting-well,needs_assessment_of_vulnerable_and_looked_after_children___full_report.pdf,"A comprehensive needs assessment of vulnerable and Looked After Children in West Sussex, focussing on social care services, physical and mental health, housing, lifestyle and education.

Produced in 2008 by NHS Sussex."
EY07,Evaluation of the Family Link Worker service 2012-2013,31/12/2013,Word,starting-well,family_link_worker_service_evaluation_report_2013.doc,"This report evaluates the impact of the Family Link Worker Service over the 2012-2013 academic year.

Overall, at least one of the four evaluation forms was returned for 340 children/cases. These children attended 125 different schools.

The number of children referred from these schools ranged from between one to ten. Among the findings:

1. In eight out of ten cases, children said that their FLW had helped them and their families a lot.
2. In two-thirds of cases schools said that barriers to learning had been lessened.
3. 86% of schools thought that the service was effective in meeting children’s needs."
EY08,Quality assurance of children’s residential care: Service level summary 2013,28/06/2013,PDF,starting-well,quality_assurance_in_children__s_residential_care_service_level_summary_2013.pdf,"Service level summary on the quality of care provided by 7 children’s residential care units in West Sussex. This summary provides an overview of the project with selected results presented."
EY09,Child disability mapping project survey report,24/05/2013,PDF,starting-well,child_disability_mapping_project.pdf,"Report looking into parents experience and opinion of services for children with a disability.

A questionnaire-based postal survey was sent to 642 families known to have a child with a disability and covers 3 key areas:

1. Care and support received by families over the last 12months
Parental rating of satisfaction of services, extent to which services met their child’s needs, rating of quality of social services and level of awareness of services available.
2. Information and advice about their child care. Opinion from parents on obtaining information on their social care needs and services provided.

3. Decision made about their child’s care over the last 12 months. This section covers aspects of decisions made by social care professionals including satisfaction with decision and whether they or their child were consultant."
EY10,Child poverty 2010,07/08/2012,Excel,starting-well,child_poverty_2010.xls,"Detailed figures from 2010 relating to the amount of children in poverty at ward level for West Sussex."
SACE01,SEND Survey Summary Report 2015,01/02/2017,PDF,starting-well,SEND-Survey-Summary-Report-2015.pdf,"Summary of key results from the Services for children with special educational needs and disabilities in West Sussex survey 2015.

A total of 2,988 survey questionnaires were sent out to parents and carers of children with special educational needs and disabilities. Both online and printed questionnaires were used. A total of 557 questionnaires were returned giving a response rate of 19%."
SACE02,SEND Infographic,30/01/2017,PDF,starting-well,SEND-Infographic.pdf,"Indicators and Outcomes for Special Educational Needs and Disability - West Sussex November 2016 Infographic."
